lokalita;plocha;pomno;x_m;y_m;popis
40000120,0;1;2,0;-6,48;-13,05;
40000121,0;1;1,0;-5,35;-16,88;
40000121,0;1;2,0;-10,13;9,3;
40000122,0;1;1,0;-15,62;13,05;
40000122,0;1;2,0;-4,09;7,14;
40000122,0;1;3,0;5,4;-5,68;
40000123,0;1;1,0;-14,64;1,53;
40000123,0;1;2,0;7,32;-12,58;
40000124,0;1;1,0;-10,89;10,22;
40000124,0;1;2,0;8,53;6,68;polykormon
40000202,0;1;1,0;17,54;1,02;
40000202,0;1;2,0;-8,73;-11,92;
40000203,0;1;1,0;-8,69;11,48;
40000203,0;1;2,0;2,11;-14,17;
40000204,0;1;1,0;8,98;-17,08;
40000204,0;1;2,0;-12,34;-8,5;
40000205,0;1;1,0;14,11;5,16;
40000205,0;1;2,0;2,77;-8,32;Krivy
40000207,0;1;1,0;15,95;12,5;
40000207,0;1;2,0;14,06;12,05;
40000208,0;1;1,0;15,88;-7,64;
40000208,0;1;2,0;10,47;10,99;U cesty
40000209,0;1;1,0;-9,95;8,56;
40000209,0;1;2,0;6,6;10,76;U cesty
40000213,0;1;1,0;-12,41;20,3;
40000213,0;1;2,0;13,61;-0,64;
40000214,0;1;1,0;9,27;17,8;U cesty
40000214,0;1;2,0;13,52;-3,64;za cestou
40000215,0;1;1,0;14,62;-6,11;
40000215,0;1;2,0;1,59;14,24;
40000216,0;1;1,0;-2,11;-10,91;Nad plání
40000216,0;1;2,0;-8,37;5,59;
40000218,0;1;1,0;-16,8;-12,89;
40000218,0;1;2,0;-6,67;11,42;
40000219,0;1;1,0;10,23;13,26;Mezi cestami
40000219,0;1;2,0;-2,01;16,33;u cesty
40000220,0;1;1,0;-9,95;-13,54;
40000220,0;1;2,0;11,55;-2,78;
40000221,0;1;1,0;-21,69;5,76; 5 m od cesty za potokem
40000221,0;1;2,0;2,69;4,28;Na rohu oplocenky
40000223,0;1;1,0;21,37;8,25;Vytezen
40000223,0;1;2,0;-16,27;9,32;
40000223,0;1;3,0;3,23;-15,94;Vystavek v oplocence
40000223,0;1;4,0;-12,03;6,81;
40000224,0;1;1,0;-11,53;23,25;
40000224,0;1;2,0;-1,81;17,13;
40000225,0;1;1,0;-3,28;20,55;
40000225,0;1;2,0;9,69;-8,7;2m od cesty
40000225,0;1;3,0;11,75;4,32;
40000226,0;1;1,0;1,85;-25,55;
40000228,0;1;1,0;-1,03;-13,7;
40000228,0;1;2,0;-1,53;12,11;
40000229,0;1;1,0;7,5;18,11;Mezi potokem a L
40000229,0;1;2,0;12,25;-2,17;
40000230,0;1;1,0;-18,72;-6,64;
40000230,0;1;2,0;-6,33;-17,34;
40000231,0;1;1,0;-10,74;-22,41;
40000231,0;1;2,0;-17,8;3,32;
40000231,0;1;3,0;-6,53;-15,46;
40000232,0;1;1,0;25,67;-3,65;
40000232,0;1;2,0;22,77;-7,54;
40000232,0;1;3,0;3,01;3,08;Primeren navic
40000233,0;1;1,0;-11,64;-9,13;
40000233,0;1;2,0;-11,55;8,67;
40000234,0;1;1,0;-9,47;14,7;
40000234,0;1;2,0;2,23;4,26;
40000235,0;1;1,0;-11,64;-13,33;
40000235,0;1;2,0;-5,77;12,59;
40000237,0;1;1,0;-3,69;-17,85;
40000237,0;1;2,0;0,4;14,35;
40000240,0;1;1,0;-16,66;-12,59;
40000240,0;1;2,0;-11,63;7,88;
40000241,0;1;1,0;-12,97;-2,04;
40000241,0;1;2,0;-1,85;1,67;Pro jistotu priznacen
40000242,0;1;1,0;-15,68;-3,04;
40000242,0;1;2,0;0,66;13,11;
40000245,0;1;1,0;13,72;-6,55;
40000245,0;1;2,0;11,16;-1,57;
40000246,0;1;1,0;4,47;-19,53;Mezi potoky
40000246,0;1;2,0;-1,99;-0,41;Priznacen pro jistotu
40000247,0;1;1,0;10,79;10,64;
40000247,0;1;2,0;4,65;-14,22;
40000248,0;1;1,0;16,12;-3,03;Cilovy
40000248,0;1;2,0;-8,4;10,19;
40000251,0;1;1,0;15,25;-6,1;u cesty
40000251,0;1;2,0;-15,77;0,05;
40000252,0;1;1,0;-1,89;-22,64;
40000252,0;1;2,0;19,82;7,79;
40000253,0;1;1,0;6,31;-19,46;
40000253,0;1;2,0;12,98;-11,87;
40000253,0;1;3,0;-3,11;-13,32;
40000254,0;1;1,0;0,23;16,5;u potoka
40000254,0;1;2,0;9,39;13,17;U potoka
40000256,0;1;1,0;-17,15;4,49;
40000256,0;1;2,0;-13,44;-3,53;
40000257,0;1;1,0;12,6;6,64;
40000257,0;1;2,0;7,62;-0,24;v plose
40000258,0;1;1,0;4,64;12,41;
40000258,0;1;2,0;-12,99;1,28;
40000259,0;1;1,0;-11,29;-11,02;
40000259,0;1;2,0;11,05;-9,33;
40000260,0;1;1,0;23,84;6,56;
40000260,0;1;2,0;-2,64;-1,43;Oznacen navic
40000261,0;1;1,0;-17,38;-3,21;
40000261,0;1;2,0;3,61;-1,63;Oznacen navic
40000262,0;1;1,0;4,15;18,08;
40000262,0;1;2,0;-13,19;10,6;pres cestu
40000263,0;1;1,0;-7,7;12,98;
40000263,0;1;2,0;7,95;-6,18;u pesiny
50085416,0;1;1,0;-13,94;12,62;dbz 180
50085416,0;1;2,0;-9,16;13,39;dbz 170
50092417,0;1;1,0;-21,87;-3,34;bk 180
50092417,0;1;2,0;5,24;11,94;lp 120
50094426,0;1;1,0;5,76;-0,89;lp 75
50094426,0;1;2,0;-0,08;1,12;hb 50 u stredu
50098438,0;1;1,0;15,51;8,99;lp 340
50098438,0;1;2,0;-3,51;16,25;bo 380
50100417,0;1;1,0;12,55;9,63;hb 180
50100417,0;1;2,0;7,14;13,1;lp 160
50100425,0;1;1,0;-1,79;14,41;bo 340
50100425,0;1;2,0;-7,67;2,92;balvan u cesty
50102435,0;1;1,0;-23,07;14,08;hb 180
50102435,0;1;2,0;22,8;-11,92;hb 140
50104453,0;1;1,0;1,32;20,98;md 330
50104453,0;1;2,0;10,39;-7,52;kl 280
50108417,0;1;1,0;11,21;-11,73;hb 170
50108417,0;1;2,0;6,32;12,52;lp 140
50108425,0;1;1,0;-0,97;-16,0;dbz 250
50108425,0;1;2,0;6,98;13,64;lp 140
50108433,0;1;1,0;0,35;-22,72;dbz 300
50108433,0;1;2,0;-14,4;-3,06;bk 280
50109409,0;1;1,0;-11,84;13,06;bk 290
50109409,0;1;2,0;-5,97;-13,18;hb 130
50110442,0;1;1,0;16,01;-7,84;dbz 260
50110442,0;1;2,0;-8,82;12,58;dbz 250
50112461,0;1;1,0;32,18;-18,11;tr 320 pres cestu
50112461,0;1;2,0;-3,37;-12,67;md 260
50113426,0;1;1,0;3,5;-15,43;dbz 320
50113426,0;1;2,0;2,79;13,75;lp 120
50114459,0;1;1,0;15,76;-5,3;dbz 120
50114459,0;1;2,0;14,21;6,0;dbz 160
50115435,0;1;1,0;13,58;-13,34;lp 240
50115435,0;1;2,0;7,64;10,56;dbz 270
50116412,0;1;1,0;-20,41;12,85;lp 320, hranice dilce
50116412,0;1;2,0;15,32;-9,68;lp 270
50118454,0;1;1,0;-16,47;12,41;dbz 220
50118454,0;1;2,0;10,94;-13,56;dbz 260
50120472,0;1;1,0;26,0;-20,02;hb 130
50120472,0;1;2,0;9,23;-19,56;hb 150
50121432,0;1;1,0;-17,99;7,05;dbz 300
50121432,0;1;2,0;-8,29;13,12;hb 280
50121464,0;1;1,0;-4,44;19,73;hb 310
50121464,0;1;2,0;-7,1;-16,35;hb 180
50122449,0;1;1,0;-1,19;-18,49;dbz 240
50122449,0;1;2,0;16,12;0,11;dbz 340
50123417,0;1;1,0;11,12;-8,38;DB 23cm
50123417,0;1;2,0;-10,27;3,08;BK  37 cm
50123441,0;1;1,0;17,93;-10,99;hb 140
50123441,0;1;2,0;4,55;-14,0;hb 120 u cesty
50127415,0;1;1,0;-14,66;10,5;LP 34 cm
50127415,0;1;2,0;6,35;-6,41;LP 19 cm
50127431,0;1;1,0;-15,97;-1,42;LP 34 cm
50127431,0;1;2,0;-2,03;2,88;Prez BK po dvojaku 1m vysoky
50129406,0;1;1,0;-3,67;-6,0;LP 25 cm
50129406,0;1;2,0;-0,92;3,09;LP 5 m
50130471,0;1;1,0;8,51;8,78;lp 80
50130471,0;1;2,0;-1,09;-0,29;jd 145 u stredu
