lokalita;plocha;datum_m;status;prist;stab;azimut_stab;vzd_stab;identifikace;duv_neob;kat_poz;poz_les;meric;pozn_plocha;datum_m_pred;prist_pred;kat_poz_pred;poz_les_pred;nadm_vyska;lt;cil_zasoba;cbp;vyr_doba;mdcel
40000020,0;1;2022-07-18;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-04;100;100;100;401,62;3S1;200,0;7,8;50,0;4,6
40000022,0;1;2022-07-07;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-18;100;100;100;376,28;3B1e;200,0;5,8;50,0;4,6
40000023,0;1;2022-07-08;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-18;100;100;100;376,6;2B1e;200,0;5,8;50,0;4,6
40000024,0;1;2022-07-18;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-18;100;100;100;327,47;3D1;200,0;5,8;50,0;4,6
40000027,0;1;2022-07-09;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-11;100;100;100;353,97;3B1;200,0;5,8;50,0;4,6
40000028,0;1;2022-07-10;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-17;100;100;100;400,84;2B4;200,0;7,8;50,0;4,6
40000029,0;1;2022-07-10;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-17;100;100;100;409,23;3S3;200,0;7,8;50,0;4,6
40000030,0;1;2022-07-07;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-04;100;100;100;411,26;3S1;200,0;7,8;50,0;4,6
40000031,0;1;2022-07-22;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-04;100;100;100;391,01;3B4e;200,0;5,8;50,0;4,6
40000032,0;1;2022-07-08;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-23;100;100;100;377,68;3S1;200,0;5,8;50,0;4,6
40000033,0;1;2022-07-08;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-18;100;100;100;342,81;3B4e;200,0;5,8;50,0;4,6
40000035,0;1;2022-07-04;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-23;100;100;100;344,45;2B1;200,0;5,8;50,0;4,6
40000036,0;1;2022-07-04;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-23;100;100;100;322,48;2C1;200,0;5,8;50,0;4,6
40000039,0;1;2022-07-09;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-11;100;100;100;348,96;3D1;200,0;5,8;50,0;4,6
40000040,0;1;2022-07-10;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-17;100;100;100;376,63;3B1e;200,0;5,8;50,0;4,6
40000041,0;1;2022-06-25;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-17;100;100;100;390,69;3B1;200,0;5,8;50,0;4,6
40000042,0;1;2022-06-22;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-04;100;100;100;409,9;3S1;200,0;7,8;50,0;4,6
40000043,0;1;2022-06-22;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-23;100;100;100;391,14;2S3;200,0;5,8;50,0;4,6
40000044,0;1;2022-06-22;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-23;100;100;100;370,82;2S3;200,0;5,8;50,0;4,6
40000045,0;1;2022-07-04;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-23;100;100;100;324,13;3D9;200,0;5,8;50,0;4,6
40000046,0;1;2022-07-04;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-23;100;100;100;298,73;3U1;200,0;6,8;50,0;4,6
40000047,0;1;2022-07-04;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-23;100;100;100;304,93;2C3;200,0;5,8;50,0;4,6
40000050,0;1;2022-07-09;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-11;100;100;100;344,75;3B4e;200,0;5,8;50,0;4,6
40000051,0;1;2022-06-26;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-17;100;100;100;400,73;3B1;200,0;7,8;50,0;4,6
40000052,0;1;2022-06-25;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-17;100;100;100;427,09;2B4;200,0;7,8;50,0;4,6
40000053,0;1;2022-06-22;200;100;100;0,0;0,0;;;100;200;Zahradnicek;;1901-01-01;;;;419,35;2B4;200,0;7,8;50,0;4,6
40000055,0;1;2022-06-22;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-03;100;100;100;405,28;2B4;200,0;7,8;50,0;4,6
40000056,0;1;2022-06-22;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-23;100;100;100;390,35;2S3;200,0;5,8;50,0;4,6
40000057,0;1;2022-06-24;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-23;100;100;100;379,27;2S1;200,0;5,8;50,0;4,6
40000058,0;1;2022-06-24;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-22;100;100;100;355,54;2S1;200,0;5,8;50,0;4,6
40000059,0;1;2022-06-24;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-22;100;100;100;345,35;2S1;200,0;5,8;50,0;4,6
40000060,0;1;2022-06-24;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-22;100;100;100;320,59;2S1;200,0;5,8;50,0;4,6
40000061,0;1;2022-06-24;200;100;100;0,0;0,0;;;100;200;Zahradnicek;;1901-01-01;;;;300,29;2S3;200,0;5,8;50,0;4,6
40000062,0;1;2022-07-01;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-22;100;100;100;278,52;2C1;200,0;5,8;50,0;4,6
40000065,0;1;2022-06-26;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-17;100;100;100;398,88;2B4;200,0;5,8;50,0;4,6
40000066,0;1;2022-06-22;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-17;100;100;100;420,37;2B4;200,0;7,8;50,0;4,6
40000067,0;1;2022-06-25;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-03;100;100;100;392,09;2B4;200,0;5,8;50,0;4,6
40000068,0;1;2022-06-25;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-03;100;100;100;392,2;2B4;200,0;5,8;50,0;4,6
40000069,0;1;2022-07-01;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-24;100;100;100;383,71;2S3;200,0;5,8;50,0;4,6
40000070,0;1;2022-06-23;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-22;100;100;100;378,04;2B4;200,0;5,8;50,0;4,6
40000072,0;1;2022-06-24;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-22;100;100;100;342,8;2S6;200,0;5,8;50,0;4,6
40000073,0;1;2022-06-29;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-22;100;100;100;314,45;2B4;200,0;5,8;50,0;4,6
40000074,0;1;2022-07-01;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-22;100;100;100;255,94;2D2;200,0;5,8;50,0;4,6
40000076,0;1;2022-07-16;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-11;100;100;100;314,89;3B1e;200,0;5,8;50,0;4,6
40000077,0;1;2022-06-26;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-17;100;100;100;361,96;3B1e;200,0;5,8;50,0;4,6
40000078,0;1;2022-06-24;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-17;100;100;100;414,82;3S1;200,0;7,8;50,0;4,6
